ID	DateTime	Action	LicenseCode	ApplicationName	User	Computer	TotalApplicationInstancesPerLicense	LicenseDuration	TotalLicensePerUser	TotalLicenses	InstancesPerApplication	ApplicationInstancesPerLicense	ApplicationDuration	TotalApplications	TotalApplicationsPerUser
39	 2019-09-30 10:23:33.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User14	Computer	2	 00:53:03	1	14	2	2	 00:53:03	9	1
40	 2019-09-30 10:28:15.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User27	Computer	2	 00:16:22	1	14	1	1	 00:00:00	10	2
41	 2019-09-30 10:31:46.000	IN	AEC COLLECTION	87176NAVMAN_2019_0F	User27	Computer	1	 00:19:53	1	14	0	0	 00:19:53	0	1
42	 2019-09-30 10:32:37.000	IN	AEC COLLECTION	86706RVT_2017_0F	User14	Computer	1	 01:02:07	1	14	1	1	 01:02:07	10	1
43	 2019-09-30 10:33:13.000	IN	AEC COLLECTION	86706RVT_2017_0F	User14	Computer	0	 01:02:43	0	13	0	0	 01:02:43	9	0
44	 2019-09-30 10:33:23.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User14	Computer	1	 00:00:10	1	14	1	1	 00:00:10	10	1
45	 2019-09-30 10:34:03.000	OUT	AEC COLLECTION	86766NAVMAN_2017_0F	User22	Computer	2	 00:51:32	1	14	1	1	 00:22:34	2	2
46	 2019-09-30 10:35:21.000	IN	AEC COLLECTION	87149RVT_2019_0F	User28	Computer	0	 00:54:54	0	13	0	0	 00:54:54	2	0
47	 2019-09-30 10:38:53.000	OUT	AEC COLLECTION	87149RVT_2019_0F	User8	Computer	2	 00:57:24	1	13	1	1	 00:00:00	3	2
48	 2019-09-30 10:48:19.001	OUT	AEC COLLECTION	87149RVT_2019_0F	User26	Computer	2	 00:51:06	1	13	2	2	 00:51:06	3	1
49	 2019-09-30 10:48:20.001	OUT	AEC COLLECTION	86917RVT_2018_0F	User17	Computer	1	 00:00:00	1	14	1	1	 00:00:00	1	1
50	 2019-09-30 10:49:55.000	IN	AEC COLLECTION	86604ACD_2017_0F	User25	Computer	0	 01:10:06	0	13	0	0	 01:10:06	0	0
51	 2019-09-30 11:06:46.000	IN	AEC COLLECTION	86917RVT_2018_0F	User17	Computer	0	 00:18:26	0	12	0	0	 00:18:26	0	0
52	 2019-09-30 11:07:51.001	OUT	AEC COLLECTION	86917RVT_2018_0F	User17	Computer	1	 00:01:05	1	13	1	1	 00:01:05	1	1
53	 2019-09-30 11:08:02.001	OUT	AEC COLLECTION	87084ACD_2019_0F	User8	Computer	3	 01:26:33	1	13	1	1	 00:00:00	1	3
54	 2019-09-30 11:09:20.001	OUT	AEC COLLECTION	86604ACD_2017_0F	User25	Computer	1	 00:19:25	1	14	1	1	 00:19:25	1	1
55	 2019-09-30 11:10:35.000	IN	AEC COLLECTION	86706RVT_2017_0F	User14	Computer	0	 00:37:22	0	13	0	0	 00:37:22	9	0
56	 2019-09-30 11:10:54.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User14	Computer	1	 00:00:19	1	14	1	1	 00:00:19	10	1
57	 2019-09-30 11:14:36.000	IN	AEC COLLECTION	86604ACD_2017_0F	User25	Computer	0	 00:24:41	0	13	0	0	 00:24:41	0	0
58	 2019-09-30 11:23:12.001	OUT	AEC COLLECTION	86604ACD_2017_0F	User25	Computer	1	 00:08:36	1	14	1	1	 00:08:36	1	1
59	 2019-09-30 11:27:35.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User13	Computer	3	 01:24:04	1	14	3	3	 01:24:04	10	1
60	 2019-09-30 11:40:36.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User12	Computer	1	 00:00:00	1	15	1	1	 00:00:00	11	1
61	 2019-09-30 11:49:46.000	IN	AEC COLLECTION	86706RVT_2017_0F	User12	Computer	0	 00:09:10	0	14	0	0	 00:09:10	10	0
62	 2019-09-30 11:51:18.001	OUT	AEC COLLECTION	86706RVT_2017_0F	User12	Computer	1	 00:01:32	1	15	1	1	 00:01:32	11	1
